objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587750860901319011,7243,40,2,116,355,6,112.38595525,-13.93383323,20.639999,18.867186,18.774319,17.74301,17.437449,0.109345,9.65838E-3,0.011894,6.915972E-3,0.015417
587750860901319012,7243,40,2,116,356,6,112.38307416,-13.9307839,21.478079,19.804712,19.000864,18.631596,18.339781,0.222039,0.017151,0.012597,0.011055,0.030308
587750860901319013,7243,40,2,116,357,3,112.3854152,-13.93243104,19.777924,18.731684,16.342936,18.464169,18.759798,0.330956,0.039875,0.015502,0.067962,0.340512
587750860901319014,7243,40,2,116,358,6,112.38222128,-13.92894109,23.296263,23.261644,21.254356,20.40947,19.793015,1.031377,0.269588,0.068401,0.039964,0.101019
587750860901319015,7243,40,2,116,359,6,112.38330662,-13.93215664,22.021763,22.328226,22.602325,21.408281,21.056068,0.375151,0.148178,0.241146,0.104189,0.328859
587750860901319016,7243,40,2,116,360,6,112.38630646,-13.92934289,23.750195,22.439583,22.135115,21.609579,20.957319,1.680645,0.161337,0.183362,0.145202,0.343757
587750860901319017,7243,40,2,116,361,6,112.38561975,-13.92910575,23.095722,21.979116,22.451218,22.1054,21.345362,0.909971,0.095465,0.202713,0.182727,0.396299
587750860901319054,7243,40,2,116,398,6,112.40861253,-13.9681918,25.698229,22.815973,21.374464,20.553907,20.010006,1.301145,0.194074,0.077996,0.046704,0.125886
587750860901319078,7243,40,2,116,422,6,112.40034581,-13.94549011,17.812508,16.452446,16.304813,16.283258,16.205894,0.015242,3.74741E-3,4.102129E-3,4.529249E-3,7.425006E-3
587750860901319079,7243,40,2,116,423,6,112.40077711,-13.94744144,18.914063,17.560989,16.995693,16.75729,16.581284,0.030169,5.245249E-3,4.857732E-3,4.993715E-3,9.063893E-3
587750860901319086,7243,40,2,116,430,3,112.40408399,-13.94467127,21.73708,21.416889,20.449627,19.403412,18.874651,0.405033,0.082817,0.053115,0.027707,0.070597
587750860901319089,7243,40,2,116,433,6,112.39986002,-13.9434342,25.231337,22.631714,20.902725,20.214727,19.815228,1.790397,0.17,0.055142,0.037253,0.112337
587750860901319090,7243,40,2,116,434,3,112.40136247,-13.94170538,23.748487,22.779844,21.200695,20.416414,19.920074,1.648515,0.211019,0.078055,0.05229,0.135807
587750860901319148,7243,40,2,116,492,6,112.39839037,-13.93681743,17.114485,15.820235,15.412412,15.248013,15.136202,0.010441,3.34958E-3,3.602946E-3,4.036412E-3,4.824037E-3
587750860901319150,7243,40,2,116,494,6,112.3974152,-13.9368377,22.0902,19.785337,18.926645,18.621197,18.384014,0.381552,0.019256,0.01515,0.012459,0.031785
587750860901319151,7243,40,2,116,495,6,112.39873904,-13.93503004,22.741165,21.311255,19.875071,18.718739,17.942814,0.662385,0.052367,0.022681,0.011539,0.022205
587750860901319153,7243,40,2,116,497,6,112.39939494,-13.93880208,22.175768,22.119423,21.208965,20.779545,20.587061,0.408447,0.102675,0.065662,0.054323,0.202853
587750860901320589,7243,40,2,116,1933,6,112.40326724,-13.98830601,26.664433,22.826624,21.00226,19.946695,19.214594,0.570604,0.188964,0.054638,0.0274,0.060573
587750860901320610,7243,40,2,116,1954,6,112.40482998,-13.98366128,26.346239,23.652342,21.866283,21.339499,20.389133,0.792722,0.396386,0.120923,0.093874,0.177035
587750860901320619,7243,40,2,116,1963,6,112.37832014,-13.93014266,21.210909,19.198088,18.187628,17.763693,17.438377,0.175599,0.012243,7.941528E-3,7.052684E-3,0.01574
587750860901320621,7243,40,2,116,1965,6,112.39733301,-13.96332038,20.794941,19.188133,18.466888,18.146969,17.912811,0.121869,0.011682,9.057521E-3,8.336426E-3,0.021514
